Name
ai
AsusMyASUS
CalculatorApp
chrome
Clipchamp
com.docker.backend
com.docker.build
com.docker.dev-envs
Discord
Docker Desktop
EXCEL
firefox
firefox
GameBar
GameBarFTServer
GitHubDesktop
GlassWire
GWCrashpadHandler
Joplin
Lunar Client
Microsoft.Media.Player
MSACCESS
msedge
msedgewebview2
mspaint
msrdc
Notepad
OfficeClickToRun
ONENOTE
ONENOTEM
OpenConsole
PacketTracer
PDFLauncher
PDFReader
PhoneExperienceHost
Photos
SnippingTool
steam
steamservice
steamwebhelper
StoreExperienceHost
StoryCube
StoryCubeAgent
StoryCubeExtension
TabTip
UserOOBEBrokerset
vmcompute
vmmemWSL
vmnat
vmnetdhcp
vmware
vmware-authd
vmware-tray
vmware-usbarbitrator64
vmwp
Widgets
WidgetService
WinStore.App
WINWORD
wsl
wslhost
wslrelay
wslservice
wslsettings
AsusDial
AsusDialAgent
WindowsTerminal
Code
